capture_datetime,capture_date,capture_time,hour,doy,confidence_mass_max,pred_count_max,detection_rate_max,focus_selected,num_focus_available,num_focus_detected,any_focus_detected,confidence_mass_range_across_focus,confidence_mass_std_across_focus
2024-06-16 13:30:00,2024-06-16,13:30:00,13,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 14:00:00,2024-06-16,14:00:00,14,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 14:32:00,2024-06-16,14:32:00,14,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 15:00:00,2024-06-16,15:00:00,15,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 15:30:00,2024-06-16,15:30:00,15,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 16:00:00,2024-06-16,16:00:00,16,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 16:30:00,2024-06-16,16:30:00,16,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 17:00:00,2024-06-16,17:00:00,17,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 17:30:00,2024-06-16,17:30:00,17,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 18:00:00,2024-06-16,18:00:00,18,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 18:30:00,2024-06-16,18:30:00,18,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 19:00:00,2024-06-16,19:00:00,19,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 19:30:00,2024-06-16,19:30:00,19,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 20:00:00,2024-06-16,20:00:00,20,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 20:30:00,2024-06-16,20:30:00,20,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 06:02:00,2024-06-17,06:02:00,6,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 06:31:00,2024-06-17,06:31:00,6,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 07:01:00,2024-06-17,07:01:00,7,169,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-17 07:31:00,2024-06-17,07:31:00,7,169,0.0,0,0.0,700,1,0,0,0.0,0.0
